#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36E29
#Date Time: 2018-03-02 19:10:23.750
#Trigger:Source: ManualCondition: Rising
#Channel 1: Range: 10 mV/div Offset: -2.5 V
#Currents: 200, 100, 50, 10, 5, 0 mA

Time (s),Channel 1 (V)
-59.999999999999993,2.540226387687023
-59.984999999999992,2.5398919386525498
-59.969999999999999,2.5398919386525498
-59.954999999999998,2.5398919386525498
-59.939999999999998,2.5398919386525498
-59.924999999999997,2.5398919386525498
-59.909999999999997,2.5395574896180766
-59.894999999999996,2.5398919386525498
-59.879999999999995,2.540226387687023
-59.864999999999995,2.5398919386525498
-59.849999999999994,2.5398919386525498
-59.834999999999994,2.5398919386525498
-59.819999999999993,2.540226387687023
-59.804999999999993,2.5395574896180766
-59.789999999999999,2.5395574896180766
-59.774999999999999,2.5398919386525498
-59.759999999999998,2.5395574896180766
-59.744999999999997,2.5398919386525498
-59.729999999999997,2.540226387687023
-59.714999999999996,2.5398919386525498
-59.699999999999996,2.5398919386525498
-59.684999999999995,2.5398919386525498
-59.669999999999995,2.5398919386525498
-59.654999999999994,2.540226387687023
-59.639999999999993,2.5398919386525498
-59.624999999999993,2.5398919386525498
-59.609999999999992,2.5398919386525498
-59.594999999999999,2.5398919386525498
-59.579999999999998,2.540226387687023
-59.564999999999998,2.5398919386525498
-59.549999999999997,2.5395574896180766
-59.534999999999997,2.5398919386525498
-59.519999999999996,2.5398919386525498
-59.504999999999995,2.540226387687023
-59.489999999999995,2.5395574896180766
-59.474999999999994,2.5395574896180766
-59.459999999999994,2.5398919386525498
-59.444999999999993,2.5395574896180766
-59.429999999999993,2.5395574896180766
-59.414999999999999,2.5395574896180766
-59.399999999999999,2.5398919386525498
-59.384999999999998,2.540226387687023
-59.369999999999997,2.5395574896180766
-59.354999999999997,2.540226387687023
-59.339999999999996,2.5398919386525498
-59.324999999999996,2.5398919386525498
-59.309999999999995,2.5395574896180766
-59.294999999999995,2.5398919386525498
-59.279999999999994,2.5395574896180766
-59.264999999999993,2.5398919386525498
-59.249999999999993,2.5395574896180766
-59.234999999999992,2.5398919386525498
-59.219999999999999,2.540226387687023
-59.204999999999998,2.5395574896180766
-59.189999999999998,2.5395574896180766
-59.174999999999997,2.5395574896180766
-59.159999999999997,2.5395574896180766
-59.144999999999996,2.5395574896180766
-59.129999999999995,2.5398919386525498
-59.114999999999995,2.5398919386525498
-59.099999999999994,2.5395574896180766
-59.084999999999994,2.5398919386525498
-59.069999999999993,2.5395574896180766
-59.054999999999993,2.5395574896180766
-59.039999999999999,2.5395574896180766
-59.024999999999999,2.5398919386525498
-59.009999999999998,2.5395574896180766
-58.994999999999997,2.5395574896180766
-58.979999999999997,2.5395574896180766
-58.964999999999996,2.5398919386525498
-58.949999999999996,2.5395574896180766
-58.934999999999995,2.5398919386525498
-58.919999999999995,2.5395574896180766
-58.904999999999994,2.5398919386525498
-58.889999999999993,2.5398919386525498
-58.874999999999993,2.5398919386525498
-58.859999999999992,2.5398919386525498
-58.844999999999999,2.5395574896180766
-58.829999999999998,2.5398919386525498
-58.814999999999998,2.5398919386525498
-58.799999999999997,2.5398919386525498
-58.784999999999997,2.5398919386525498
-58.769999999999996,2.5398919386525498
-58.754999999999995,2.5398919386525498
-58.739999999999995,2.5398919386525498
-58.724999999999994,2.540226387687023
-58.709999999999994,2.5398919386525498
-58.694999999999993,2.5398919386525498
-58.679999999999993,2.5398919386525498
-58.664999999999999,2.5395574896180766
-58.649999999999999,2.5395574896180766
-58.634999999999998,2.5395574896180766
-58.619999999999997,2.5398919386525498
-58.604999999999997,2.5398919386525498
-58.589999999999996,2.5395574896180766
-58.574999999999996,2.5395574896180766
-58.559999999999995,2.5398919386525498
-58.544999999999995,2.5398919386525498
-58.529999999999994,2.5398919386525498
-58.514999999999993,2.5395574896180766
-58.499999999999993,2.5398919386525498
-58.484999999999992,2.5398919386525498
-58.469999999999999,2.5398919386525498
-58.454999999999998,2.5395574896180766
-58.439999999999998,2.5398919386525498
-58.424999999999997,2.5395574896180766
-58.409999999999997,2.5395574896180766
-58.394999999999996,2.5398919386525498
-58.379999999999995,2.5398919386525498
-58.364999999999995,2.5395574896180766
-58.349999999999994,2.5395574896180766
-58.334999999999994,2.5398919386525498
-58.319999999999993,2.5395574896180766
-58.304999999999993,2.5398919386525498
-58.289999999999999,2.5398919386525498
-58.274999999999999,2.5398919386525498
-58.259999999999998,2.5398919386525498
-58.244999999999997,2.5395574896180766
-58.229999999999997,2.5398919386525498
-58.214999999999996,2.5395574896180766
-58.199999999999996,2.5398919386525498
-58.184999999999995,2.5395574896180766
-58.169999999999995,2.5395574896180766
-58.154999999999994,2.5398919386525498
-58.139999999999993,2.5398919386525498
-58.124999999999993,2.5398919386525498
-58.109999999999992,2.5392230405836034
-58.094999999999999,2.5395574896180766
-58.079999999999998,2.5395574896180766
-58.064999999999998,2.5395574896180766
-58.049999999999997,2.5398919386525498
-58.034999999999997,2.5395574896180766
-58.019999999999996,2.540226387687023
-58.004999999999995,2.5398919386525498
-57.989999999999995,2.5398919386525498
-57.974999999999994,2.5398919386525498
-57.959999999999994,2.5398919386525498
-57.944999999999993,2.5398919386525498
-57.929999999999993,2.5398919386525498
-57.914999999999999,2.5398919386525498
-57.899999999999999,2.5398919386525498
-57.884999999999998,2.5398919386525498
-57.869999999999997,2.540226387687023
-57.854999999999997,2.5398919386525498
-57.839999999999996,2.5395574896180766
-57.824999999999996,2.5398919386525498
-57.809999999999995,2.5398919386525498
